bar,open,close,low,high,volume,length,timestamp
0,93741.6,93739.7,93739.7,93795.2,10.594618,1651,2025-04-28
1,93739.6,93696.1,93696.0,93739.6,10.710546,718,2025-04-28
2,93696.1,93676.1,93664.9,93738.7,10.681198,1603,2025-04-28
3,93676.1,93667.8,93667.8,93703.7,10.564766,1359,2025-04-28
4,93667.8,93510.0,93510.0,93667.9,10.797982,1713,2025-04-28
5,93510.0,93502.8,93489.2,93511.7,10.712059,1018,2025-04-28
6,93502.8,93428.6,93423.5,93510.9,10.694944,1503,2025-04-28
7,93427.3,93390.7,93352.0,93428.6,10.706772,1366,2025-04-28
8,93390.8,93400.5,93373.6,93412.2,10.6939,1009,2025-04-28
9,93400.5,93374.4,93343.6,93400.5,10.673538,1418,2025-04-28
10,93374.3,93489.0,93346.4,93489.0,10.758993,1485,2025-04-28
11,93489.0,93495.8,93479.9,93517.0,10.659919,551,2025-04-28
12,93495.7,93354.6,93354.5,93525.3,10.737568,1561,2025-04-28
13,93354.6,93505.7,93354.6,93505.7,10.643026,1447,2025-04-28
14,93505.7,93422.6,93422.6,93525.3,10.751751,1319,2025-04-28
15,93422.6,93437.5,93422.6,93443.8,10.702177,406,2025-04-28
16,93437.5,93409.4,93408.8,93437.5,10.673339,165,2025-04-28
17,93409.4,93359.1,93359.1,93440.0,9.87638,1218,2025-04-28
18,93359.0,93319.1,93317.1,93370.8,11.571989,1704,2025-04-28
19,93319.0,93352.9,93313.6,93353.0,10.716258,580,2025-04-28
20,93352.9,93316.9,93316.9,93387.8,10.514784,1239,2025-04-28
21,93316.4,93294.3,93278.6,93316.4,10.919795,1239,2025-04-28
22,93295.5,93383.4,93282.7,93383.6,10.709111,1456,2025-04-28
23,93383.4,93350.7,93325.7,93418.0,10.715633,1450,2025-04-28
24,93350.7,93458.8,93350.7,93460.5,10.69692,1500,2025-04-28
25,93458.8,93530.9,93445.9,93530.9,10.703755,1353,2025-04-28
26,93530.9,93537.0,93476.9,93537.0,10.634403,1268,2025-04-28
27,93537.0,93407.2,93400.1,93537.1,10.758835,1028,2025-04-28
28,93407.2,93534.7,93402.0,93534.7,10.655088,2061,2025-04-28
29,93534.7,93557.6,93534.7,93588.3,10.730761,1238,2025-04-28
30,93557.6,93510.4,93499.2,93565.0,10.686362,1442,2025-04-28
31,93510.4,93389.7,93389.7,93544.2,10.699648,1613,2025-04-28
32,93389.3,93364.8,93350.0,93431.2,10.697782,1221,2025-04-28
33,93364.8,93501.3,93343.2,93501.4,10.711597,840,2025-04-28
34,93501.3,93488.2,93465.2,93525.2,10.703273,1400,2025-04-28
35,93488.2,93562.0,93432.0,93564.3,10.542388,2100,2025-04-28
36,93561.6,93609.0,93530.2,93615.4,10.763515,2438,2025-04-28
37,93609.0,93719.3,93605.0,93739.7,10.66101,2267,2025-04-28
38,93719.3,93667.4,93641.5,93719.3,10.753972,1046,2025-04-28
39,93667.6,93749.0,93649.9,93787.2,10.668163,1072,2025-04-28
40,93749.0,93655.1,93636.5,93792.6,10.675743,1668,2025-04-28
41,93655.1,93655.8,93646.7,93740.9,10.643856,1611,2025-04-28
42,93655.8,93634.8,93611.4,93697.6,10.719117,1298,2025-04-28
43,93634.8,93693.4,93634.8,93700.0,10.595827,1198,2025-04-28
44,93693.4,93626.8,93626.8,93700.0,10.758401,1813,2025-04-28
45,93626.8,93554.6,93554.5,93647.9,10.536042,2187,2025-04-28
46,93554.5,93532.9,93496.7,93554.5,10.66953,1206,2025-04-28
47,93532.9,93474.7,93474.7,93547.8,10.700527,1587,2025-04-28
48,93474.5,93435.7,93430.0,93499.1,10.783931,2175,2025-04-28
49,93435.7,93393.7,93385.5,93469.9,10.781705,1818,2025-04-28
50,93393.7,93470.7,93391.9,93474.7,10.556617000000001,1342,2025-04-28
51,93470.6,93443.6,93376.8,93471.0,10.851273,1619,2025-04-28
52,93443.6,93457.0,93430.1,93499.5,10.541352,1651,2025-04-28
53,93456.9,93595.4,93456.2,93595.5,10.844955,1137,2025-04-28
54,93595.4,93371.2,93371.2,93595.4,10.604417,1728,2025-04-28
55,93371.2,93283.0,93283.0,93371.2,10.804513,1350,2025-04-28
56,93282.8,93330.5,93257.4,93342.9,10.510199,1193,2025-04-28
57,93330.4,93348.0,93320.8,93416.9,10.900616,2248,2025-04-28
58,93348.1,93332.5,93332.5,93369.9,10.716827,1094,2025-04-28
59,93332.5,93218.6,93218.5,93332.5,10.677962,993,2025-04-28
60,93218.5,93276.7,93211.4,93276.7,10.787484000000001,1404,2025-04-28
61,93276.7,93261.4,93219.5,93314.2,10.701130000000001,1746,2025-04-28
62,93261.4,93346.7,93261.4,93347.5,10.736775,1822,2025-04-28
63,93346.7,93280.1,93252.4,93346.7,10.595421,1158,2025-04-28
64,93280.1,93325.6,93280.1,93347.5,10.839796,1212,2025-04-28
65,93325.6,93231.6,93222.6,93334.8,10.675881,1611,2025-04-28
